Start: Sun Jun 09 18:33:12 PDT 2024

Start: Sun Jun 09 18:33:12 PDT 2024

Parameter Sweeps

Number of parameters swept: 6

Table of parameters swept 
public	boolean	groups	true	true	true	false	false	false	
public	int	memorySize	1	2	3	1	2	3	

Parameter values for the class class evolutionaryGames.Environment
id  0
_cooperators  100
_defectors  100
_walkawayCooperators  100
_walkawayDefectors  100
_tftMobile  100
_tftStationary  100
_pavlovMobile  100
_pavlovStationary  100
memorySize  1
active  1.0
groups  true
averageAge  50.0
sdAge  10.0
mutationRate  0.01
resoucesToReproduce  30.0
minResourcesStart  30.0
maxResourcesStart  30.0
carryingCapacity  2000.0
searchRadiusPlayer  1
cooperate_cooperator  3.0
defect_defector  0.0
cooperate_defector  -1.0
defect_cooperator  5.0
reproductionRadius  1
lowerBoundsSurvival  0.0
useLowerBoundsSurvival  true
localReproduction  true
mutationRange  true
charts  true
nameSpace  SPARSE
gridWidth  100
gridHeight  100
paramSweeps  true
simLength  5001
simNumber  10
fileDataName  results.txt
folderDataName  data
dataSamplingInterval  50
burnIn  0
scheduleTimeInterval  1.0
closeProgramAtend  true
customSweepOnly  false

Sweep Number:	1
groups	true
memorySize	1
Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
2450.000	10.000	1999.700	0.205	0.009	0.163	0.041	0.169	0.102	0.223	0.089
2500.000	10.000	1999.700	0.207	0.009	0.164	0.044	0.172	0.100	0.214	0.090
2550.000	10.000	1999.700	0.206	0.009	0.173	0.045	0.175	0.095	0.208	0.089
2600.000	10.000	1999.900	0.206	0.007	0.175	0.048	0.179	0.091	0.205	0.089
2650.000	10.000	1999.800	0.195	0.008	0.185	0.041	0.184	0.088	0.206	0.094
2700.000	10.000	2000.000	0.193	0.006	0.184	0.038	0.189	0.089	0.209	0.091
2750.000	10.000	2000.000	0.194	0.006	0.181	0.041	0.196	0.086	0.205	0.091
2800.000	10.000	2000.000	0.202	0.008	0.186	0.041	0.188	0.080	0.205	0.090
2850.000	10.000	2000.000	0.210	0.006	0.187	0.039	0.188	0.077	0.204	0.089
2900.000	10.000	2000.000	0.209	0.007	0.185	0.041	0.179	0.074	0.213	0.092
2950.000	10.000	2000.000	0.205	0.008	0.181	0.042	0.178	0.071	0.221	0.093
3000.000	10.000	2000.000	0.199	0.010	0.190	0.039	0.172	0.071	0.227	0.093
3050.000	10.000	2000.000	0.198	0.009	0.193	0.037	0.169	0.071	0.229	0.094
3100.000	10.000	1999.800	0.193	0.007	0.194	0.034	0.174	0.074	0.234	0.089
3150.000	10.000	1999.800	0.183	0.008	0.198	0.035	0.177	0.075	0.235	0.088
3200.000	10.000	1999.700	0.191	0.009	0.190	0.032	0.178	0.079	0.228	0.094
3250.000	10.000	2000.000	0.188	0.009	0.191	0.036	0.171	0.079	0.232	0.094
3300.000	10.000	1999.800	0.193	0.009	0.188	0.043	0.161	0.077	0.238	0.091
3350.000	10.000	1999.700	0.197	0.008	0.189	0.043	0.153	0.075	0.239	0.097
3400.000	10.000	2000.000	0.192	0.010	0.191	0.048	0.147	0.079	0.238	0.096
3450.000	10.000	1999.700	0.192	0.009	0.186	0.042	0.145	0.084	0.242	0.100
3500.000	10.000	1999.400	0.185	0.008	0.186	0.045	0.148	0.085	0.242	0.101
3550.000	10.000	1999.300	0.187	0.009	0.186	0.047	0.147	0.082	0.242	0.101
3600.000	10.000	2000.000	0.189	0.009	0.184	0.047	0.150	0.079	0.242	0.099
3650.000	10.000	2000.000	0.195	0.010	0.177	0.048	0.156	0.076	0.242	0.096
3700.000	10.000	2000.000	0.203	0.008	0.176	0.047	0.165	0.074	0.236	0.091
3750.000	10.000	1999.900	0.206	0.008	0.167	0.046	0.175	0.067	0.239	0.092
3800.000	10.000	1999.900	0.202	0.007	0.168	0.048	0.178	0.062	0.238	0.097
3850.000	10.000	2000.000	0.208	0.008	0.169	0.045	0.183	0.064	0.223	0.101
3900.000	10.000	2000.000	0.208	0.011	0.171	0.043	0.187	0.061	0.218	0.101
3950.000	10.000	1999.800	0.208	0.008	0.166	0.045	0.186	0.064	0.219	0.103
4000.000	10.000	1999.900	0.203	0.008	0.169	0.048	0.184	0.068	0.216	0.104
4050.000	10.000	1999.900	0.209	0.007	0.168	0.048	0.175	0.076	0.212	0.105
4100.000	10.000	1999.900	0.209	0.008	0.165	0.048	0.177	0.078	0.209	0.106
4150.000	10.000	2000.000	0.213	0.008	0.152	0.047	0.182	0.076	0.213	0.108
4200.000	10.000	1999.900	0.218	0.008	0.143	0.045	0.179	0.079	0.212	0.115
4250.000	10.000	2000.000	0.218	0.007	0.145	0.042	0.177	0.077	0.211	0.123
4300.000	10.000	1999.700	0.214	0.007	0.151	0.042	0.173	0.074	0.213	0.125
4350.000	10.000	1999.900	0.207	0.009	0.152	0.039	0.178	0.078	0.214	0.123
4400.000	10.000	1999.800	0.199	0.009	0.154	0.041	0.176	0.081	0.219	0.122
4450.000	10.000	2000.000	0.197	0.008	0.154	0.038	0.174	0.082	0.223	0.123
4500.000	10.000	1999.800	0.193	0.008	0.154	0.038	0.178	0.084	0.216	0.129
4550.000	10.000	2000.000	0.189	0.008	0.157	0.037	0.175	0.082	0.220	0.132
4600.000	10.000	1999.700	0.190	0.008	0.161	0.036	0.174	0.080	0.217	0.134
4650.000	10.000	1999.900	0.192	0.008	0.160	0.041	0.167	0.081	0.216	0.135
4700.000	10.000	2000.000	0.193	0.007	0.157	0.040	0.167	0.077	0.226	0.132
4750.000	10.000	1999.600	0.197	0.010	0.158	0.040	0.169	0.076	0.227	0.123
4800.000	10.000	2000.000	0.199	0.008	0.163	0.039	0.176	0.075	0.225	0.115
4850.000	10.000	1999.800	0.196	0.008	0.163	0.039	0.173	0.078	0.231	0.111
4900.000	10.000	1999.800	0.197	0.008	0.168	0.037	0.167	0.073	0.236	0.114
4950.000	10.000	1999.900	0.199	0.008	0.169	0.037	0.171	0.067	0.238	0.111
5000.000	10.000	1999.800	0.205	0.009	0.176	0.034	0.175	0.062	0.230	0.109

Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
0.000	10.000	6.441	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1.000	10.000	7.342	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.002
50.000	10.000	0.221	0.004	0.002	0.004	0.003	0.003	0.004	0.003	0.004
100.000	10.000	0.307	0.008	0.001	0.007	0.008	0.006	0.007	0.005	0.008
150.000	10.000	0.307	0.009	0.002	0.006	0.008	0.009	0.010	0.010	0.010
200.000	10.000	0.133	0.010	0.001	0.006	0.008	0.009	0.012	0.012	0.011
250.000	10.000	0.213	0.011	0.001	0.007	0.008	0.010	0.014	0.011	0.010
300.000	10.000	0.100	0.010	0.002	0.010	0.009	0.013	0.015	0.014	0.013
350.000	10.000	0.133	0.012	0.002	0.010	0.010	0.015	0.018	0.015	0.012
400.000	10.000	0.133	0.012	0.001	0.012	0.008	0.014	0.019	0.015	0.013
450.000	10.000	0.153	0.014	0.001	0.015	0.009	0.014	0.018	0.011	0.013
500.000	10.000	0.000	0.016	0.001	0.017	0.010	0.012	0.018	0.014	0.013
550.000	10.000	0.100	0.020	0.001	0.018	0.008	0.012	0.020	0.016	0.014
600.000	10.000	0.000	0.023	0.001	0.018	0.008	0.011	0.022	0.018	0.014
650.000	10.000	0.213	0.025	0.001	0.018	0.008	0.016	0.026	0.018	0.014
700.000	10.000	0.133	0.026	0.001	0.018	0.008	0.016	0.025	0.019	0.014
750.000	10.000	0.133	0.028	0.001	0.020	0.006	0.017	0.026	0.022	0.014
800.000	10.000	0.200	0.029	0.001	0.020	0.004	0.018	0.026	0.023	0.014
850.000	10.000	0.153	0.029	0.001	0.019	0.005	0.019	0.025	0.024	0.015
900.000	10.000	0.307	0.027	0.001	0.020	0.005	0.018	0.026	0.025	0.016
950.000	10.000	0.000	0.026	0.001	0.020	0.004	0.019	0.027	0.024	0.018
1000.000	10.000	0.000	0.026	0.001	0.022	0.004	0.018	0.027	0.025	0.018
1050.000	10.000	0.000	0.025	0.001	0.022	0.004	0.019	0.027	0.026	0.019
1100.000	10.000	0.100	0.023	0.001	0.023	0.004	0.019	0.027	0.027	0.020
1150.000	10.000	0.100	0.023	0.001	0.025	0.004	0.020	0.029	0.026	0.019
1200.000	10.000	0.133	0.021	0.001	0.028	0.005	0.023	0.029	0.025	0.019
1250.000	10.000	0.133	0.022	0.001	0.026	0.003	0.026	0.029	0.023	0.015
1300.000	10.000	0.133	0.022	0.001	0.025	0.004	0.024	0.028	0.023	0.015
1350.000	10.000	0.163	0.022	0.001	0.026	0.003	0.023	0.028	0.024	0.015
1400.000	10.000	0.133	0.023	0.001	0.026	0.002	0.023	0.026	0.026	0.015
1450.000	10.000	0.100	0.023	0.001	0.027	0.003	0.023	0.021	0.024	0.016
1500.000	10.000	0.000	0.025	0.001	0.028	0.004	0.023	0.020	0.025	0.016
1550.000	10.000	0.100	0.022	0.001	0.028	0.004	0.022	0.021	0.026	0.016
1600.000	10.000	0.200	0.023	0.002	0.027	0.005	0.023	0.021	0.026	0.017
1650.000	10.000	0.000	0.024	0.001	0.028	0.004	0.025	0.019	0.026	0.016
1700.000	10.000	0.213	0.026	0.001	0.028	0.004	0.026	0.019	0.025	0.015
1750.000	10.000	0.000	0.028	0.001	0.026	0.004	0.024	0.021	0.027	0.015
1800.000	10.000	0.100	0.029	0.001	0.026	0.002	0.024	0.020	0.025	0.016
1850.000	10.000	0.000	0.032	0.001	0.026	0.003	0.021	0.019	0.025	0.016
1900.000	10.000	0.133	0.035	0.001	0.026	0.003	0.022	0.018	0.025	0.016
1950.000	10.000	0.133	0.037	0.001	0.025	0.003	0.022	0.018	0.024	0.015
2000.000	10.000	0.000	0.037	0.001	0.025	0.002	0.023	0.016	0.021	0.014
2050.000	10.000	0.221	0.039	0.001	0.027	0.002	0.025	0.016	0.024	0.013
2100.000	10.000	0.200	0.041	0.001	0.030	0.003	0.024	0.018	0.022	0.011
2150.000	10.000	0.100	0.038	0.001	0.031	0.004	0.023	0.019	0.023	0.011
2200.000	10.000	0.133	0.036	0.001	0.029	0.005	0.022	0.019	0.022	0.013
2250.000	10.000	0.267	0.038	0.002	0.026	0.005	0.021	0.018	0.021	0.012
2300.000	10.000	0.100	0.036	0.002	0.025	0.004	0.020	0.016	0.020	0.013
2350.000	10.000	0.000	0.032	0.001	0.026	0.005	0.017	0.016	0.021	0.011
2400.000	10.000	0.100	0.030	0.002	0.021	0.006	0.018	0.017	0.017	0.010
2450.000	10.000	0.213	0.029	0.001	0.018	0.007	0.019	0.018	0.017	0.010
2500.000	10.000	0.153	0.032	0.001	0.020	0.008	0.023	0.019	0.016	0.011
2550.000	10.000	0.153	0.032	0.001	0.024	0.007	0.023	0.018	0.014	0.011
2600.000	10.000	0.100	0.030	0.001	0.025	0.006	0.023	0.016	0.013	0.011
2650.000	10.000	0.133	0.027	0.001	0.026	0.005	0.019	0.015	0.013	0.013
2700.000	10.000	0.000	0.025	0.001	0.028	0.005	0.017	0.016	0.015	0.014
2750.000	10.000	0.000	0.026	0.001	0.029	0.006	0.018	0.017	0.014	0.015
2800.000	10.000	0.000	0.028	0.002	0.030	0.006	0.017	0.016	0.017	0.015
2850.000	10.000	0.000	0.030	0.002	0.030	0.006	0.016	0.015	0.017	0.016
2900.000	10.000	0.000	0.030	0.002	0.033	0.005	0.015	0.016	0.019	0.017
2950.000	10.000	0.000	0.028	0.002	0.033	0.006	0.016	0.018	0.019	0.016
3000.000	10.000	0.000	0.025	0.002	0.033	0.005	0.015	0.017	0.019	0.015
3050.000	10.000	0.000	0.024	0.001	0.033	0.004	0.015	0.018	0.023	0.016
3100.000	10.000	0.200	0.025	0.001	0.031	0.004	0.015	0.020	0.024	0.016
3150.000	10.000	0.133	0.026	0.001	0.032	0.004	0.017	0.020	0.024	0.015
3200.000	10.000	0.153	0.027	0.001	0.031	0.004	0.017	0.020	0.025	0.016
3250.000	10.000	0.000	0.026	0.002	0.031	0.005	0.018	0.020	0.024	0.017
3300.000	10.000	0.133	0.028	0.001	0.030	0.005	0.016	0.020	0.025	0.018
3350.000	10.000	0.153	0.028	0.001	0.027	0.006	0.016	0.018	0.025	0.019
3400.000	10.000	0.000	0.028	0.001	0.030	0.007	0.019	0.020	0.021	0.017
3450.000	10.000	0.213	0.027	0.001	0.029	0.005	0.020	0.020	0.017	0.018
3500.000	10.000	0.221	0.028	0.001	0.030	0.006	0.022	0.019	0.017	0.019
3550.000	10.000	0.335	0.028	0.001	0.029	0.006	0.024	0.018	0.018	0.017
3600.000	10.000	0.000	0.031	0.001	0.028	0.006	0.025	0.016	0.017	0.018
3650.000	10.000	0.000	0.031	0.002	0.027	0.006	0.029	0.016	0.017	0.017
3700.000	10.000	0.000	0.031	0.002	0.027	0.005	0.032	0.015	0.019	0.017
3750.000	10.000	0.100	0.030	0.001	0.024	0.004	0.033	0.015	0.019	0.018
3800.000	10.000	0.100	0.032	0.001	0.024	0.006	0.035	0.015	0.018	0.019
3850.000	10.000	0.000	0.034	0.002	0.025	0.006	0.036	0.016	0.016	0.019
3900.000	10.000	0.000	0.034	0.002	0.024	0.006	0.037	0.016	0.014	0.019
3950.000	10.000	0.133	0.034	0.001	0.025	0.006	0.036	0.017	0.016	0.020
4000.000	10.000	0.100	0.033	0.002	0.026	0.006	0.035	0.018	0.016	0.021
4050.000	10.000	0.100	0.033	0.001	0.027	0.005	0.034	0.020	0.015	0.022
4100.000	10.000	0.100	0.034	0.001	0.027	0.006	0.033	0.020	0.014	0.020
4150.000	10.000	0.000	0.035	0.002	0.025	0.005	0.034	0.019	0.011	0.019
4200.000	10.000	0.100	0.037	0.001	0.023	0.005	0.031	0.019	0.011	0.018
4250.000	10.000	0.000	0.038	0.001	0.024	0.004	0.030	0.018	0.012	0.017
4300.000	10.000	0.213	0.040	0.001	0.025	0.004	0.029	0.018	0.014	0.018
4350.000	10.000	0.100	0.038	0.001	0.022	0.004	0.030	0.018	0.016	0.018
4400.000	10.000	0.133	0.037	0.001	0.021	0.005	0.030	0.017	0.016	0.017
4450.000	10.000	0.000	0.036	0.001	0.023	0.005	0.030	0.017	0.017	0.017
4500.000	10.000	0.133	0.034	0.001	0.022	0.006	0.030	0.016	0.019	0.017
4550.000	10.000	0.000	0.030	0.001	0.023	0.008	0.030	0.016	0.019	0.018
4600.000	10.000	0.153	0.028	0.001	0.023	0.007	0.029	0.015	0.022	0.019
4650.000	10.000	0.100	0.028	0.001	0.024	0.007	0.028	0.016	0.024	0.021
4700.000	10.000	0.000	0.029	0.001	0.024	0.007	0.028	0.015	0.024	0.021
4750.000	10.000	0.221	0.030	0.001	0.024	0.006	0.027	0.014	0.024	0.016
4800.000	10.000	0.000	0.032	0.001	0.022	0.005	0.031	0.016	0.022	0.014
4850.000	10.000	0.200	0.030	0.001	0.021	0.004	0.033	0.017	0.022	0.015
4900.000	10.000	0.133	0.030	0.001	0.022	0.004	0.032	0.016	0.021	0.016
4950.000	10.000	0.100	0.031	0.001	0.023	0.004	0.034	0.015	0.019	0.017
5000.000	10.000	0.133	0.034	0.001	0.026	0.004	0.034	0.012	0.018	0.016
	
Sweep Number:	5
groups	false
memorySize	2
Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
0.000	10.000	1458.500	0.126	0.127	0.123	0.127	0.124	0.125	0.122	0.125
1.000	10.000	1417.000	0.126	0.130	0.122	0.130	0.123	0.123	0.121	0.125
50.000	10.000	1999.500	0.138	0.052	0.133	0.099	0.144	0.150	0.144	0.139
100.000	10.000	1999.600	0.148	0.018	0.141	0.063	0.158	0.167	0.156	0.148
150.000	10.000	1999.800	0.153	0.010	0.150	0.036	0.164	0.169	0.173	0.146
200.000	10.000	2000.000	0.151	0.008	0.147	0.023	0.170	0.169	0.182	0.151
250.000	10.000	2000.000	0.149	0.006	0.144	0.016	0.173	0.169	0.188	0.154
300.000	10.000	1999.800	0.152	0.005	0.150	0.012	0.176	0.166	0.188	0.151
350.000	10.000	1999.900	0.150	0.004	0.153	0.010	0.180	0.163	0.191	0.150
400.000	10.000	1999.900	0.151	0.005	0.162	0.009	0.181	0.162	0.187	0.143
450.000	10.000	1999.900	0.148	0.004	0.163	0.009	0.180	0.159	0.191	0.146
500.000	10.000	1999.900	0.144	0.004	0.162	0.008	0.191	0.157	0.194	0.141
550.000	10.000	1999.500	0.146	0.004	0.162	0.009	0.197	0.154	0.191	0.136
600.000	10.000	1999.900	0.152	0.006	0.153	0.009	0.196	0.154	0.201	0.130
650.000	10.000	1999.900	0.150	0.005	0.154	0.009	0.197	0.158	0.203	0.125
700.000	10.000	1999.700	0.152	0.003	0.161	0.009	0.205	0.152	0.200	0.118
750.000	10.000	2000.000	0.149	0.005	0.164	0.008	0.215	0.145	0.197	0.117
800.000	10.000	1999.700	0.152	0.005	0.164	0.007	0.212	0.144	0.207	0.109
850.000	10.000	2000.000	0.154	0.005	0.167	0.008	0.209	0.141	0.213	0.103
900.000	10.000	1999.800	0.155	0.005	0.168	0.008	0.212	0.138	0.215	0.100
950.000	10.000	1999.900	0.155	0.005	0.172	0.009	0.217	0.132	0.212	0.098
1000.000	10.000	2000.000	0.157	0.004	0.169	0.007	0.221	0.134	0.213	0.094
1050.000	10.000	1999.600	0.159	0.004	0.166	0.008	0.221	0.138	0.213	0.093
1100.000	10.000	1999.900	0.165	0.005	0.171	0.007	0.216	0.131	0.214	0.092
1150.000	10.000	2000.000	0.173	0.006	0.173	0.007	0.222	0.123	0.207	0.090
1200.000	10.000	1999.800	0.169	0.006	0.179	0.008	0.222	0.114	0.210	0.092
1250.000	10.000	1999.900	0.163	0.005	0.183	0.009	0.222	0.110	0.212	0.096
1300.000	10.000	1999.900	0.161	0.005	0.184	0.009	0.225	0.108	0.215	0.094
1350.000	10.000	1999.800	0.157	0.005	0.187	0.009	0.231	0.111	0.207	0.093
1400.000	10.000	1999.700	0.157	0.004	0.189	0.009	0.238	0.103	0.206	0.093
1450.000	10.000	1999.600	0.159	0.004	0.194	0.010	0.235	0.095	0.210	0.093
1500.000	10.000	1999.800	0.160	0.004	0.189	0.010	0.234	0.101	0.215	0.088
1550.000	10.000	1999.600	0.150	0.004	0.191	0.010	0.236	0.102	0.223	0.084
1600.000	10.000	1999.800	0.142	0.004	0.198	0.009	0.238	0.096	0.226	0.087
1650.000	10.000	1999.900	0.137	0.005	0.195	0.010	0.244	0.092	0.229	0.088
1700.000	10.000	2000.000	0.138	0.004	0.196	0.012	0.254	0.090	0.223	0.083
1750.000	10.000	2000.000	0.141	0.005	0.202	0.012	0.251	0.087	0.218	0.084
1800.000	10.000	2000.000	0.138	0.007	0.201	0.012	0.251	0.092	0.219	0.080
1850.000	10.000	1999.900	0.139	0.005	0.198	0.010	0.260	0.093	0.218	0.077
1900.000	10.000	2000.000	0.135	0.005	0.200	0.008	0.264	0.090	0.222	0.077
1950.000	10.000	1999.900	0.128	0.004	0.198	0.009	0.260	0.093	0.231	0.077
2000.000	10.000	1999.700	0.125	0.004	0.199	0.009	0.255	0.091	0.241	0.075
2050.000	10.000	2000.000	0.122	0.005	0.195	0.010	0.265	0.087	0.241	0.075
2100.000	10.000	1999.900	0.127	0.005	0.185	0.011	0.269	0.086	0.244	0.074
2150.000	10.000	2000.000	0.126	0.004	0.189	0.010	0.269	0.088	0.238	0.077
2200.000	10.000	1999.800	0.126	0.005	0.183	0.010	0.273	0.088	0.238	0.078
2250.000	10.000	1999.900	0.125	0.004	0.183	0.010	0.281	0.086	0.239	0.073
2300.000	10.000	1999.800	0.127	0.004	0.181	0.011	0.286	0.085	0.238	0.069
2350.000	10.000	1999.500	0.129	0.005	0.175	0.012	0.288	0.086	0.238	0.067
2400.000	10.000	1999.900	0.125	0.004	0.172	0.010	0.289	0.089	0.240	0.071
2450.000	10.000	1999.800	0.130	0.003	0.176	0.008	0.282	0.085	0.246	0.070
2500.000	10.000	1999.900	0.133	0.004	0.172	0.008	0.286	0.078	0.248	0.072
2550.000	10.000	1999.900	0.135	0.004	0.168	0.008	0.289	0.078	0.247	0.071
2600.000	10.000	1999.600	0.132	0.005	0.170	0.007	0.284	0.079	0.249	0.073
2650.000	10.000	1999.900	0.132	0.006	0.172	0.007	0.291	0.077	0.243	0.071
2700.000	10.000	1999.600	0.130	0.005	0.178	0.006	0.293	0.075	0.246	0.067
2750.000	10.000	1999.900	0.132	0.004	0.183	0.009	0.286	0.075	0.248	0.063
2800.000	10.000	1999.800	0.137	0.004	0.177	0.009	0.298	0.076	0.239	0.061
2850.000	10.000	1999.800	0.135	0.004	0.180	0.010	0.301	0.073	0.236	0.060
2900.000	10.000	1999.700	0.129	0.005	0.186	0.010	0.298	0.078	0.238	0.055
2950.000	10.000	2000.000	0.127	0.006	0.189	0.011	0.291	0.075	0.247	0.055
3000.000	10.000	1999.900	0.121	0.006	0.186	0.010	0.304	0.072	0.244	0.058
3050.000	10.000	1999.900	0.122	0.005	0.180	0.008	0.312	0.076	0.240	0.057
3100.000	10.000	1999.900	0.120	0.005	0.176	0.008	0.316	0.075	0.244	0.057
3150.000	10.000	1999.900	0.118	0.004	0.180	0.009	0.306	0.080	0.247	0.056
3200.000	10.000	2000.000	0.119	0.005	0.179	0.009	0.307	0.083	0.246	0.051
3250.000	10.000	1999.700	0.119	0.005	0.186	0.009	0.305	0.081	0.247	0.047
3300.000	10.000	1999.500	0.112	0.004	0.194	0.009	0.309	0.078	0.250	0.044
3350.000	10.000	2000.000	0.111	0.003	0.193	0.010	0.311	0.075	0.251	0.044
3400.000	10.000	1999.900	0.116	0.004	0.197	0.010	0.313	0.069	0.248	0.044
3450.000	10.000	1999.700	0.117	0.004	0.202	0.009	0.304	0.068	0.255	0.042
3500.000	10.000	1999.900	0.114	0.004	0.194	0.009	0.309	0.067	0.262	0.042
3550.000	10.000	1999.900	0.105	0.004	0.195	0.007	0.320	0.067	0.260	0.042
3600.000	10.000	1999.800	0.110	0.004	0.195	0.008	0.320	0.063	0.261	0.039
3650.000	10.000	2000.000	0.110	0.005	0.186	0.009	0.324	0.064	0.263	0.040
3700.000	10.000	2000.000	0.109	0.004	0.181	0.009	0.333	0.063	0.261	0.039
3750.000	10.000	1999.900	0.109	0.004	0.183	0.008	0.335	0.061	0.261	0.039
3800.000	10.000	1999.800	0.115	0.004	0.186	0.008	0.332	0.056	0.258	0.041
3850.000	10.000	1999.900	0.115	0.003	0.190	0.008	0.331	0.058	0.256	0.040
3900.000	10.000	1999.700	0.112	0.004	0.190	0.007	0.331	0.057	0.257	0.041
3950.000	10.000	1999.900	0.105	0.005	0.185	0.007	0.344	0.060	0.252	0.042
4000.000	10.000	1999.700	0.106	0.004	0.184	0.009	0.344	0.057	0.254	0.043
4050.000	10.000	1999.800	0.106	0.004	0.186	0.007	0.334	0.051	0.269	0.044
4100.000	10.000	1999.700	0.110	0.004	0.182	0.007	0.325	0.049	0.280	0.044
4150.000	10.000	2000.000	0.108	0.004	0.175	0.009	0.328	0.050	0.284	0.043
4200.000	10.000	1999.900	0.108	0.004	0.169	0.009	0.329	0.056	0.283	0.040
4250.000	10.000	2000.000	0.106	0.005	0.170	0.011	0.335	0.055	0.282	0.037
4300.000	10.000	1999.800	0.099	0.004	0.173	0.010	0.349	0.055	0.272	0.037
4350.000	10.000	1999.700	0.098	0.004	0.173	0.010	0.346	0.058	0.272	0.039
4400.000	10.000	1999.800	0.098	0.003	0.177	0.011	0.343	0.060	0.267	0.041
4450.000	10.000	1999.900	0.101	0.004	0.173	0.010	0.342	0.062	0.265	0.043
4500.000	10.000	2000.000	0.100	0.004	0.166	0.009	0.351	0.066	0.262	0.043
4550.000	10.000	2000.000	0.100	0.003	0.163	0.007	0.355	0.068	0.262	0.042
4600.000	10.000	1999.900	0.097	0.003	0.166	0.008	0.357	0.068	0.257	0.044
4650.000	10.000	2000.000	0.098	0.003	0.164	0.007	0.367	0.069	0.248	0.044
4700.000	10.000	1999.700	0.094	0.004	0.166	0.008	0.373	0.067	0.244	0.044
4750.000	10.000	1999.500	0.091	0.004	0.169	0.009	0.371	0.070	0.244	0.043
4800.000	10.000	1999.900	0.089	0.003	0.170	0.009	0.376	0.067	0.243	0.044
4850.000	10.000	1999.800	0.091	0.003	0.171	0.008	0.374	0.067	0.243	0.042
4900.000	10.000	1999.700	0.089	0.004	0.175	0.010	0.370	0.068	0.240	0.044
4950.000	10.000	1999.700	0.084	0.004	0.173	0.009	0.371	0.072	0.244	0.044
5000.000	10.000	1999.800	0.081	0.004	0.163	0.007	0.369	0.076	0.253	0.046

Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
0.000	10.000	4.705	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002
1.000	10.000	6.068	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001
50.000	10.000	0.269	0.003	0.002	0.004	0.004	0.003	0.004	0.003	0.004
100.000	10.000	0.306	0.007	0.002	0.004	0.004	0.004	0.005	0.004	0.008
150.000	10.000	0.133	0.009	0.001	0.007	0.004	0.007	0.007	0.006	0.010
200.000	10.000	0.000	0.010	0.001	0.008	0.002	0.007	0.005	0.007	0.010
250.000	10.000	0.000	0.011	0.001	0.008	0.002	0.010	0.007	0.007	0.013
300.000	10.000	0.133	0.010	0.001	0.009	0.002	0.010	0.008	0.008	0.012
350.000	10.000	0.100	0.010	0.001	0.010	0.001	0.012	0.009	0.010	0.013
400.000	10.000	0.100	0.011	0.001	0.011	0.001	0.012	0.011	0.010	0.011
450.000	10.000	0.100	0.011	0.001	0.010	0.001	0.013	0.011	0.011	0.012
500.000	10.000	0.100	0.010	0.001	0.011	0.001	0.015	0.011	0.010	0.011
550.000	10.000	0.224	0.010	0.001	0.012	0.001	0.014	0.010	0.011	0.011
600.000	10.000	0.100	0.010	0.001	0.012	0.002	0.015	0.010	0.013	0.012
650.000	10.000	0.100	0.010	0.001	0.011	0.002	0.014	0.010	0.013	0.011
700.000	10.000	0.153	0.010	0.000	0.013	0.002	0.015	0.009	0.016	0.011
750.000	10.000	0.000	0.009	0.001	0.013	0.001	0.015	0.008	0.019	0.011
800.000	10.000	0.213	0.012	0.001	0.012	0.001	0.014	0.008	0.022	0.010
850.000	10.000	0.000	0.012	0.001	0.012	0.002	0.015	0.009	0.023	0.010
900.000	10.000	0.133	0.012	0.001	0.011	0.001	0.017	0.010	0.023	0.010
950.000	10.000	0.100	0.014	0.001	0.012	0.001	0.018	0.010	0.027	0.012
1000.000	10.000	0.000	0.013	0.001	0.011	0.001	0.017	0.011	0.031	0.013
1050.000	10.000	0.400	0.014	0.001	0.013	0.001	0.015	0.012	0.029	0.012
1100.000	10.000	0.100	0.014	0.001	0.016	0.002	0.018	0.014	0.031	0.012
1150.000	10.000	0.000	0.016	0.001	0.018	0.001	0.019	0.014	0.029	0.012
1200.000	10.000	0.200	0.018	0.001	0.017	0.001	0.019	0.011	0.028	0.011
1250.000	10.000	0.100	0.021	0.001	0.016	0.001	0.017	0.011	0.027	0.012
1300.000	10.000	0.100	0.020	0.001	0.016	0.001	0.017	0.012	0.028	0.013
1350.000	10.000	0.133	0.020	0.001	0.017	0.001	0.017	0.010	0.026	0.015
1400.000	10.000	0.213	0.023	0.001	0.016	0.001	0.019	0.010	0.025	0.016
1450.000	10.000	0.221	0.022	0.000	0.016	0.002	0.020	0.010	0.025	0.017
1500.000	10.000	0.200	0.022	0.001	0.016	0.001	0.022	0.011	0.025	0.017
1550.000	10.000	0.221	0.020	0.001	0.019	0.001	0.023	0.011	0.026	0.017
1600.000	10.000	0.133	0.020	0.001	0.021	0.002	0.025	0.009	0.030	0.016
