Start: Sun Jun 09 18:33:12 PDT 2024

Start: Sun Jun 09 18:33:12 PDT 2024

Parameter Sweeps

Number of parameters swept: 6

Table of parameters swept 
public	boolean	groups	true	true	true	false	false	false	
public	int	memorySize	1	2	3	1	2	3	

Parameter values for the class class evolutionaryGames.Environment
id  0
_cooperators  100
_defectors  100
_walkawayCooperators  100
_walkawayDefectors  100
_tftMobile  100
_tftStationary  100
_pavlovMobile  100
_pavlovStationary  100
memorySize  1
active  1.0
groups  true
averageAge  50.0
sdAge  10.0
mutationRate  0.01
resoucesToReproduce  30.0
minResourcesStart  30.0
maxResourcesStart  30.0
carryingCapacity  2000.0
searchRadiusPlayer  1
cooperate_cooperator  3.0
defect_defector  0.0
cooperate_defector  -1.0
defect_cooperator  5.0
reproductionRadius  1
lowerBoundsSurvival  0.0
useLowerBoundsSurvival  true
localReproduction  true
mutationRange  true
charts  true
nameSpace  SPARSE
gridWidth  100
gridHeight  100
paramSweeps  true
simLength  5001
simNumber  10
fileDataName  results.txt
folderDataName  data
dataSamplingInterval  50
burnIn  0
scheduleTimeInterval  1.0
closeProgramAtend  true
customSweepOnly  false

Sweep Number:	1
groups	true
memorySize	1
Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
1150.000	10.000	1999.700	0.079	0.011	0.163	0.026	0.380	0.031	0.282	0.030
1200.000	10.000	2000.000	0.081	0.012	0.150	0.031	0.389	0.036	0.270	0.031
1250.000	10.000	2000.000	0.094	0.013	0.137	0.028	0.383	0.037	0.275	0.034
1300.000	10.000	2000.000	0.088	0.013	0.138	0.026	0.379	0.034	0.287	0.035
1350.000	10.000	1999.800	0.081	0.012	0.132	0.029	0.385	0.031	0.296	0.034
1400.000	10.000	1999.700	0.078	0.014	0.128	0.032	0.387	0.026	0.302	0.034
1450.000	10.000	1999.600	0.071	0.013	0.129	0.032	0.392	0.027	0.300	0.038
1500.000	10.000	1999.700	0.071	0.013	0.125	0.036	0.398	0.025	0.295	0.038
1550.000	10.000	1999.800	0.070	0.011	0.117	0.036	0.412	0.024	0.290	0.040
1600.000	10.000	1999.800	0.069	0.015	0.116	0.032	0.409	0.023	0.293	0.043
1650.000	10.000	1999.800	0.069	0.020	0.114	0.037	0.391	0.023	0.301	0.044
1700.000	10.000	1999.600	0.076	0.018	0.112	0.032	0.377	0.022	0.320	0.043
1750.000	10.000	1999.500	0.085	0.012	0.103	0.023	0.380	0.024	0.331	0.042
1800.000	10.000	1999.700	0.093	0.011	0.096	0.026	0.369	0.030	0.329	0.046
1850.000	10.000	2000.000	0.102	0.011	0.082	0.034	0.369	0.033	0.323	0.045
1900.000	10.000	2000.000	0.099	0.013	0.070	0.037	0.386	0.034	0.320	0.043
1950.000	10.000	1999.900	0.087	0.016	0.066	0.039	0.392	0.037	0.320	0.043
2000.000	10.000	1999.800	0.081	0.023	0.063	0.055	0.388	0.037	0.311	0.042
2050.000	10.000	1994.800	0.064	0.030	0.062	0.072	0.393	0.038	0.298	0.042
2100.000	10.000	1884.800	0.055	0.044	0.062	0.080	0.394	0.038	0.287	0.039
2150.000	10.000	1809.200	0.048	0.085	0.069	0.055	0.392	0.034	0.281	0.037
2200.000	9.000	1999.556	0.045	0.019	0.079	0.035	0.433	0.037	0.312	0.040
2250.000	9.000	1999.889	0.040	0.022	0.078	0.041	0.437	0.034	0.308	0.042
2300.000	9.000	2000.000	0.038	0.022	0.079	0.043	0.437	0.033	0.306	0.043
2350.000	9.000	2000.000	0.039	0.020	0.079	0.040	0.437	0.030	0.314	0.042
2400.000	9.000	1999.778	0.039	0.019	0.075	0.039	0.443	0.027	0.316	0.043
2450.000	9.000	1999.889	0.042	0.018	0.077	0.040	0.440	0.027	0.314	0.042
2500.000	9.000	1999.778	0.040	0.022	0.073	0.050	0.428	0.029	0.317	0.041
2550.000	9.000	1999.667	0.039	0.024	0.073	0.055	0.418	0.031	0.322	0.039
2600.000	9.000	1999.667	0.041	0.023	0.080	0.060	0.408	0.031	0.322	0.035
2650.000	9.000	1999.556	0.041	0.024	0.093	0.061	0.388	0.030	0.332	0.031
2700.000	9.000	1999.778	0.036	0.024	0.093	0.080	0.367	0.032	0.339	0.030
2750.000	9.000	1973.333	0.036	0.031	0.093	0.102	0.354	0.028	0.324	0.032
2800.000	9.000	1846.889	0.033	0.049	0.090	0.100	0.346	0.030	0.321	0.031
2850.000	9.000	1945.222	0.034	0.019	0.108	0.073	0.387	0.034	0.314	0.031
2900.000	9.000	1999.778	0.035	0.027	0.090	0.124	0.364	0.040	0.289	0.030
2950.000	9.000	1863.556	0.037	0.050	0.066	0.172	0.325	0.044	0.275	0.031
3000.000	9.000	1786.444	0.036	0.063	0.125	0.144	0.280	0.044	0.267	0.040
3050.000	9.000	1884.000	0.034	0.056	0.153	0.097	0.283	0.042	0.266	0.070
3100.000	9.000	1787.111	0.036	0.067	0.152	0.082	0.283	0.042	0.272	0.068
3150.000	9.000	1778.444	0.036	0.093	0.146	0.064	0.288	0.044	0.264	0.064
3200.000	8.000	1999.875	0.038	0.029	0.142	0.060	0.314	0.049	0.295	0.072
3250.000	8.000	1999.500	0.037	0.047	0.088	0.108	0.313	0.047	0.291	0.068
3300.000	8.000	1865.000	0.040	0.042	0.057	0.152	0.311	0.042	0.288	0.067
3350.000	8.000	1750.500	0.043	0.085	0.057	0.125	0.294	0.043	0.291	0.063
3400.000	7.000	1999.571	0.042	0.046	0.072	0.084	0.317	0.051	0.330	0.057
3450.000	7.000	1950.143	0.042	0.087	0.079	0.093	0.287	0.047	0.327	0.038
3500.000	7.000	1765.429	0.037	0.132	0.084	0.077	0.272	0.047	0.324	0.027
3550.000	7.000	1714.714	0.041	0.155	0.085	0.057	0.264	0.047	0.318	0.032
3600.000	6.000	1999.833	0.048	0.015	0.094	0.082	0.302	0.056	0.357	0.045
3650.000	6.000	1999.667	0.049	0.021	0.076	0.098	0.302	0.058	0.345	0.051
3700.000	6.000	1999.833	0.048	0.027	0.074	0.120	0.300	0.056	0.326	0.050
3750.000	6.000	1999.500	0.040	0.035	0.073	0.144	0.308	0.053	0.299	0.048
3800.000	6.000	1999.833	0.033	0.037	0.074	0.125	0.324	0.063	0.297	0.048
3850.000	6.000	1999.833	0.025	0.046	0.066	0.129	0.334	0.074	0.279	0.047
3900.000	6.000	1997.000	0.020	0.068	0.053	0.151	0.315	0.069	0.283	0.042
3950.000	6.000	1875.000	0.014	0.126	0.042	0.143	0.289	0.069	0.285	0.032
4000.000	6.000	1684.333	0.011	0.157	0.035	0.117	0.274	0.062	0.318	0.026
4050.000	5.000	2000.000	0.013	0.026	0.042	0.092	0.328	0.074	0.399	0.025
4100.000	5.000	1999.800	0.011	0.033	0.043	0.091	0.331	0.069	0.401	0.021
4150.000	5.000	1999.000	0.012	0.053	0.046	0.094	0.326	0.063	0.386	0.020
4200.000	5.000	1952.600	0.015	0.099	0.054	0.088	0.303	0.050	0.373	0.018
4250.000	5.000	1712.000	0.015	0.177	0.061	0.054	0.275	0.043	0.363	0.013
4300.000	5.000	1605.000	0.016	0.206	0.065	0.033	0.262	0.041	0.362	0.014
4350.000	4.000	2000.000	0.017	0.013	0.084	0.033	0.318	0.055	0.463	0.019
4400.000	4.000	1999.500	0.018	0.014	0.091	0.027	0.304	0.055	0.470	0.021
4450.000	4.000	1999.750	0.024	0.017	0.092	0.030	0.309	0.048	0.461	0.020
4500.000	4.000	1999.500	0.027	0.013	0.085	0.030	0.314	0.047	0.461	0.024
4550.000	4.000	2000.000	0.028	0.014	0.086	0.034	0.309	0.052	0.451	0.026
4600.000	4.000	2000.000	0.023	0.017	0.083	0.042	0.315	0.050	0.447	0.024
4650.000	4.000	1999.000	0.022	0.018	0.094	0.053	0.314	0.054	0.425	0.020
4700.000	4.000	1999.750	0.022	0.025	0.089	0.059	0.313	0.053	0.419	0.020
4750.000	4.000	2000.000	0.023	0.036	0.079	0.083	0.312	0.047	0.397	0.023
4800.000	4.000	1999.750	0.019	0.049	0.055	0.163	0.297	0.037	0.362	0.018
4850.000	4.000	1889.500	0.017	0.053	0.068	0.200	0.277	0.027	0.340	0.018
4900.000	4.000	1713.750	0.016	0.030	0.041	0.271	0.264	0.027	0.331	0.020
4950.000	4.000	1512.250	0.017	0.021	0.033	0.284	0.262	0.028	0.334	0.020
5000.000	3.000	1999.333	0.024	0.016	0.052	0.062	0.340	0.033	0.452	0.021

Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
0.000	10.000	5.188	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1.000	10.000	6.202	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
50.000	10.000	0.100	0.004	0.001	0.003	0.003	0.004	0.004	0.006	0.004
100.000	10.000	0.100	0.011	0.001	0.006	0.002	0.006	0.006	0.007	0.004
150.000	10.000	0.133	0.015	0.001	0.011	0.001	0.008	0.007	0.011	0.004
200.000	10.000	0.100	0.013	0.001	0.011	0.002	0.010	0.007	0.011	0.005
250.000	10.000	0.100	0.012	0.002	0.013	0.002	0.013	0.006	0.013	0.005
300.000	10.000	0.100	0.014	0.002	0.015	0.002	0.016	0.006	0.016	0.005
350.000	10.000	0.000	0.017	0.001	0.017	0.002	0.020	0.007	0.017	0.005
400.000	10.000	0.153	0.017	0.001	0.018	0.002	0.020	0.006	0.017	0.005
450.000	10.000	0.213	0.019	0.002	0.019	0.002	0.019	0.007	0.017	0.005
500.000	10.000	0.307	0.022	0.001	0.021	0.002	0.022	0.006	0.020	0.004
550.000	10.000	0.221	0.022	0.002	0.022	0.003	0.025	0.006	0.023	0.003
600.000	10.000	0.133	0.020	0.001	0.020	0.005	0.025	0.006	0.026	0.003
650.000	10.000	0.100	0.019	0.001	0.021	0.005	0.023	0.005	0.025	0.004
700.000	10.000	0.000	0.018	0.001	0.022	0.005	0.023	0.005	0.026	0.004
750.000	10.000	0.100	0.018	0.000	0.023	0.005	0.026	0.005	0.027	0.005
800.000	10.000	0.133	0.017	0.001	0.024	0.003	0.031	0.006	0.029	0.006
850.000	10.000	0.100	0.016	0.001	0.029	0.002	0.034	0.007	0.032	0.005
900.000	10.000	0.153	0.015	0.001	0.032	0.002	0.031	0.007	0.035	0.006
950.000	10.000	0.163	0.015	0.002	0.035	0.004	0.033	0.007	0.037	0.006
1000.000	10.000	0.000	0.017	0.001	0.031	0.004	0.036	0.007	0.035	0.007
1050.000	10.000	0.400	0.016	0.002	0.029	0.004	0.037	0.006	0.033	0.007
1100.000	10.000	0.133	0.015	0.003	0.027	0.005	0.037	0.006	0.034	0.008
1150.000	10.000	0.153	0.016	0.003	0.028	0.005	0.039	0.006	0.037	0.008
1200.000	10.000	0.000	0.017	0.003	0.027	0.007	0.043	0.007	0.041	0.008
1250.000	10.000	0.000	0.022	0.002	0.026	0.005	0.049	0.007	0.043	0.008
1300.000	10.000	0.000	0.024	0.003	0.027	0.004	0.050	0.007	0.046	0.010
1350.000	10.000	0.133	0.024	0.003	0.028	0.006	0.054	0.007	0.049	0.011
1400.000	10.000	0.153	0.022	0.002	0.029	0.007	0.053	0.006	0.052	0.010
1450.000	10.000	0.221	0.017	0.003	0.028	0.007	0.048	0.005	0.050	0.011
1500.000	10.000	0.213	0.016	0.003	0.024	0.008	0.048	0.004	0.049	0.010
1550.000	10.000	0.133	0.016	0.003	0.024	0.009	0.054	0.004	0.055	0.011
1600.000	10.000	0.133	0.015	0.005	0.029	0.011	0.056	0.005	0.057	0.011
1650.000	10.000	0.133	0.014	0.011	0.033	0.019	0.056	0.006	0.058	0.010
1700.000	10.000	0.267	0.017	0.008	0.034	0.014	0.054	0.006	0.059	0.012
1750.000	10.000	0.401	0.021	0.003	0.035	0.008	0.057	0.007	0.062	0.010
1800.000	10.000	0.153	0.022	0.003	0.032	0.009	0.060	0.007	0.064	0.011
1850.000	10.000	0.000	0.024	0.002	0.023	0.015	0.062	0.006	0.064	0.009
1900.000	10.000	0.000	0.023	0.002	0.015	0.016	0.068	0.005	0.066	0.009
1950.000	10.000	0.100	0.020	0.007	0.016	0.022	0.075	0.006	0.066	0.009
2000.000	10.000	0.133	0.020	0.013	0.016	0.036	0.079	0.005	0.066	0.008
2050.000	10.000	5.090	0.020	0.019	0.016	0.054	0.083	0.006	0.067	0.007
